"year","time","rank","artist","album","song_title_clean","k_title","e_title","k_length","e_length","eng_label"
2018,1,70,"엠씨더맥스 (M.C The Max)","pathos","어디에도","어디에도","",4,0,0
2018,1,71,"수란 (SURAN)","WINE","오늘 취하면","오늘 취하면","",6,0,0
2018,1,72,"EXO","Universe - 겨울 스페셜 앨범, 2017","Stay","","Stay",0,4,1
2018,1,73,"현아 (HyunA)","Lip & Hip","Lip & Hip","","Lip   Hip",0,9,1
2018,1,74,"EXO","The Power Of Music - The 4th Album Repackage","Power","","Power",0,5,1
2018,1,75,"BTS","LOVE YOURSELF 承 `Her`","MIC Drop","","MIC Drop",0,8,1
2018,1,76,"마크툽 (MAKTUB), 구윤회","마크툽 프로젝트 Vol.03","Marry Me","","Marry Me",0,8,1
2018,1,77,"아이유 (IU)","꽃갈피 둘","잠 못 드는 밤 비는 내리고","잠 못 드는 밤 비는 내리고","",15,0,0
2018,1,78,"길구봉구","바람이 불었으면 좋겠어","바람이 불었으면 좋겠어","바람이 불었으면 좋겠어","",12,0,0
2018,1,79,"크러쉬 (CRUSH)","내 편이 돼줘","내 편이 돼줘","내 편이 돼줘","",7,0,0
2018,1,80,"BTS","WINGS","피 땀 눈물","피 땀 눈물","",6,0,0
2018,1,81,"EXO","Universe - 겨울 스페셜 앨범, 2017","Fall","","Fall",0,4,1
2018,1,82,"선우정아","고양이","고양이","고양이","",3,0,0
2018,1,83,"수란 (SURAN)","러브스토리 (Love Story)","러브스토리","러브스토리","",5,0,0
2018,1,84,"김나영","miss u","miss u","","miss u",0,6,1
2018,1,85,"윤건","우리 둘만 아는","우리 둘만 아는","우리 둘만 아는","",8,0,0
2018,1,86,"EXO","Universe - 겨울 스페셜 앨범, 2017","Good Night","","Good Night",0,10,1
2018,1,89,"EXO","Universe - 겨울 스페셜 앨범, 2017","Lights Out","","Lights Out",0,10,1
2018,1,91,"Wanna One (워너원)","1-1=0 (NOTHING WITHOUT YOU)","Twilight","","Twilight",0,8,1
2018,1,92,"지코 (ZICO)","TELEVISION","Artist","","Artist",0,6,1
2018,1,93,"G-Dragon","권지용","무제(無題) (Untitled, 2014)","무제","",2,0,1
2018,1,94,"TWICE","Merry & Happy","Merry & Happy","","Merry   Happy",0,13,1
