"year","time","rank","artist","album","song_title_clean","k_title","e_title","k_length","e_length","eng_label"
2020,27,70,"AB6IX (에이비식스)","VIVID","답을 줘 (THE ANSWER)","답을 줘","",4,0,1
2020,27,77,"세븐틴","Love&Letter repackage album","아주 NICE","아주","NICE",2,4,1
2020,27,149,"BLACKPINK","KILL THIS LOVE","Kill This Love","","Kill This Love",0,14,1
2020,27,151,"지코 (ZICO)","RANDOM BOX","웬수","웬수","",2,0,0
2020,27,156,"케이시 (Kassy)","똑똑(TOCK TOCK)","똑똑(TOCK TOCK)","똑똑","",2,0,1
2020,27,165,"세븐틴","5TH MINI ALBUM `YOU MAKE MY DAY`","어쩌나","어쩌나","",3,0,0
2020,27,185,"지코 (ZICO)","RANDOM BOX","만화영화 (Cartoon)","만화영화","",4,0,1
2020,28,1,"BLACKPINK","How You Like That","How You Like That","","How You Like That",0,17,1
2020,28,2,"지코 (ZICO)","RANDOM BOX","Summer Hate","","Summer Hate",0,11,1
2020,28,8,"Red Velvet - IRENE & SEULGI","Monster - The 1st Mini Album","Monster","","Monster",0,7,1
2020,28,14,"청하","PLAY","PLAY","","PLAY",0,4,1
2020,28,42,"신용재","Dear","첫 줄","첫 줄","",3,0,0
2020,28,61,"ASH ISLAND","Error","Error","","Error",0,5,1
2020,28,65,"신용재","Dear","별이 온다","별이 온다","",5,0,0
2020,28,72,"세훈&찬열","척","척","척","",1,0,0
2020,28,92,"박원","사이코지만 괜찮아 OST Part.3","My Tale","","My Tale",0,7,1
2020,28,93,"지아 (Zia)","오늘 술 한잔해요","오늘 술 한잔해요","오늘 술 한잔해요","",9,0,0
2020,28,96,"(여자)아이들","i`M THE TREND","i`M THE TREND","","i M THE TREND",0,13,1
2020,28,133,"SF9 (에스에프나인)","9loryUS","여름 향기가 날 춤추게 해 (Summer Breeze)","여름 향기가 날 춤추게 해","",14,0,1
2020,29,1,"BLACKPINK","How You Like That","How You Like That","","How You Like That",0,17,1
2020,29,2,"지코 (ZICO)","RANDOM BOX","Summer Hate","","Summer Hate",0,11,1
2020,29,3,"싹쓰리 (유두래곤, 린다G, 비룡)","여름 안에서 (Covered By 싹쓰리)","여름 안에서","여름 안에서","",6,0,0
2020,29,9,"오마이걸 (OH MY GIRL)","NONSTOP","Dolphin","","Dolphin",0,7,1
2020,29,24,"세훈&찬열","10억뷰 - The 1st Album","10억뷰","억뷰","",2,0,0
2020,29,31,"이수현","사이코지만 괜찮아 OST Part.4","아직 너의 시간에 살아","아직 너의 시간에 살아","",12,0,0
2020,29,41,"크러쉬 (CRUSH)","OHIO","OHIO","","OHIO",0,4,1
2020,29,54,"여자친구 (GFRIEND)","回:Song of the Sirens","Apple","","Apple",0,5,1
2020,29,64,"솔지","오늘따라 비가 와서 그런가 봐","오늘따라 비가 와서 그런가 봐","오늘따라 비가 와서 그런가 봐","",16,0,0
2020,29,108,"정은지","Simple","AWay","","AWay",0,4,1
2020,29,127,"가비엔제이 (Gavy NJ)","전 여친","전 여친","전 여친","",4,0,0
2020,29,128,"폴킴","집돌이","집돌이","집돌이","",3,0,0
2020,29,136,"세훈&찬열","10억뷰 - The 1st Album","로데오역","로데오역","",4,0,0
2020,29,145,"세훈&찬열","10억뷰 - The 1st Album","Say It","","Say It",0,6,1
2020,29,162,"세훈&찬열","10억뷰 - The 1st Album","날개","날개","",2,0,0
2020,29,168,"세훈&찬열","10억뷰 - The 1st Album","시차적응","시차적응","",4,0,0
2020,29,169,"공기남","Airman Morning Diaries EP.1","인셉션","인셉션","",3,0,0
2020,29,188,"세훈&찬열","10억뷰 - The 1st Album","On Me","","On Me",0,5,1
2020,29,198,"세훈&찬열","10억뷰 - The 1st Album","Nothin’","","Nothin",0,6,1
2020,30,1,"싹쓰리 (유두래곤, 린다G, 비룡)","다시 여기 바닷가","다시 여기 바닷가","다시 여기 바닷가","",9,0,0
2020,30,2,"화사(Hwa Sa)","Mara","마리아 (Maria)","마리아","",3,0,1
2020,30,80,"김필","사이코지만 괜찮아 OST Part.5","나도 모르는 노래 (Hallelujah)","나도 모르는 노래","",9,0,1
2020,30,89,"오반 (OVAN), 주식","불 좀 꺼줄래","불 좀 꺼줄래","불 좀 꺼줄래","",7,0,0
2020,30,102,"코요태(KYT)","바다","바다","바다","",2,0,0
2020,30,112,"규현 (KYUHYUN)","Dreaming","Dreaming","","Dreaming",0,8,1
2020,30,118,"이우","이별까지는 생각 못 했어","이별까지는 생각 못 했어","이별까지는 생각 못 했어","",13,0,0
2020,30,162,"조광일","곡예사","곡예사","곡예사","",3,0,0
2020,31,1,"싹쓰리 (유두래곤, 린다G, 비룡)","다시 여기 바닷가","다시 여기 바닷가","다시 여기 바닷가","",9,0,0
2020,31,2,"싹쓰리 (유두래곤, 린다G, 비룡)","그 여름을 틀어줘","그 여름을 틀어줘","그 여름을 틀어줘","",9,0,0
2020,31,7,"이하이","홀로","홀로","홀로","",2,0,0
2020,31,53,"전소미","What You Waiting For","What You Waiting For","","What You Waiting For",0,20,1
2020,31,83,"백현 (BAEKHYUN)","Our Beloved BoA #1 - SM STATION","공중정원 (Garden In The Air)","공중정원","",4,0,1
2020,31,102,"강다니엘","Waves","Waves","","Waves",0,5,1
2020,31,107,"CHEEZE (치즈)","사이코지만 괜찮아 OST Part.6","너라서 고마워","너라서 고마워","",7,0,0
2020,31,115,"윤두준","Daybreak","Lonely Night","","Lonely Night",0,12,1
2020,31,117,"에이프릴(APRIL)","Summer Special Album `Hello Summer`","Now or Never","","Now or Never",0,12,1
2020,31,157,"소유 (SOYOU)","GOTTA GO (가라고)","GOTTA GO (가라고)","","GOTTA GO",0,8,1
2020,32,1,"싹쓰리 (유두래곤, 린다G, 비룡)","다시 여기 바닷가","다시 여기 바닷가","다시 여기 바닷가","",9,0,0
2020,32,2,"싹쓰리 (유두래곤, 린다G, 비룡)","그 여름을 틀어줘","그 여름을 틀어줘","그 여름을 틀어줘","",9,0,0
2020,32,4,"린다G","두리쥬와 X LINDA X 신난다","LINDA","","LINDA",0,5,1
2020,32,6,"비룡","두리쥬와 X LINDA X 신난다","신난다","신난다","",3,0,0
2020,32,12,"강다니엘","MAGENTA","깨워 (Who U Are)","깨워","",2,0,1
2020,32,18,"유두래곤","두리쥬와 X LINDA X 신난다","두리쥬와","두리쥬와","",4,0,0
2020,32,45,"이상순","두리쥬와 X LINDA X 신난다","다시 여기 바닷가 (Acoustic Ver.)","다시 여기 바닷가","",9,0,1
2020,32,83,"태민 (TAEMIN)","Never Gonna Dance Again : Prologue","2 KIDS","","KIDS",0,4,1
2020,32,95,"코요태(KYT)","Oh my summer","아하 (Oh my summer)","아하","",2,0,1
2020,32,119,"박문치","Cool한 42","Cool한 42 (with. 박문치 유니버스)","한","Cool",1,4,1
2020,33,1,"싹쓰리 (유두래곤, 린다G, 비룡)","다시 여기 바닷가","다시 여기 바닷가","다시 여기 바닷가","",9,0,0
2020,33,2,"화사(Hwa Sa)","Mara","마리아 (Maria)","마리아","",3,0,1
2020,33,36,"볼빨간사춘기 (BOL4)","Our Beloved BoA #2 - SM STATION","아틀란티스 소녀 (Atlantis Princess)","아틀란티스 소녀","",8,0,1
2020,33,63,"먼데이 키즈 (Monday Kiz), 이예준","나가","나가","나가","",2,0,0
2020,33,97,"한승우","Fame","Sacrifice","","Sacrifice",0,9,1
2020,33,102,"온앤오프 (ONF)","SPIN OFF","스쿰빗스위밍 (Sukhumvit Swimming)","스쿰빗스위밍","",6,0,1
2020,34,1,"싹쓰리 (유두래곤, 린다G, 비룡)","다시 여기 바닷가","다시 여기 바닷가","다시 여기 바닷가","",9,0,0
2020,34,2,"제시(Jessi)","NUNA","눈누난나 (NUNU NANA)","눈누난나","",4,0,1
2020,34,9,"오마이걸 (OH MY GIRL)","NONSTOP","Dolphin","","Dolphin",0,7,1
2020,34,97,"로시 (Rothy)","OCEAN VIEW","OCEAN VIEW","","OCEAN VIEW",0,10,1
2020,34,102,"GRAY (그레이)","STAY THE NIGHT (취향저격 그녀 X GRAY) OST","STAY THE NIGHT","","STAY THE NIGHT",0,14,1
2020,34,114,"세정","Whale","Whale","","Whale",0,5,1
2020,35,1,"BTS","Dynamite","Dynamite","","Dynamite",0,8,1
2020,35,8,"(여자)아이들","덤디덤디 (DUMDi DUMDi)","덤디덤디 (DUMDi DUMDi)","덤디덤디","",4,0,1
2020,35,9,"ITZY (있지)","Not Shy","Not Shy","","Not Shy",0,7,1
2020,35,63,"김재환","안녕 못 해","안녕 못 해","안녕 못 해","",6,0,0
2020,35,119,"Red Velvet","Our Beloved BoA #4 - SM STATION","Milky Way","","Milky Way",0,9,1
2020,35,178,"BTS","Dynamite","Dynamite (Acoustic Remix)","","Dynamite",0,8,1
2020,36,1,"BTS","Dynamite","Dynamite","","Dynamite",0,8,1
2020,36,8,"BLACKPINK","Ice Cream (with Selena Gomez)","Ice Cream (with Selena Gomez)","","Ice Cream",0,9,1
2020,36,67,"DAY6 (Even of Day)","The Book of Us : Gluon - Nothing can tear us apart","파도가 끝나는 곳까지","파도가 끝나는 곳까지","",11,0,0
2020,36,76,"허각","듣고 싶던 말","듣고 싶던 말","듣고 싶던 말","",7,0,0
2020,36,93,"러블리즈","7th Mini Album [Unforgettable]","Obliviate","","Obliviate",0,9,1
2020,36,129,"SUPER JUNIOR-D&E (동해&은혁)","BAD BLOOD - The 4th Mini Album","B.A.D","","B A D",0,5,1
2020,36,142,"SuperM","호랑이 (Tiger Inside)","호랑이 (Tiger Inside)","호랑이","",3,0,1
2020,36,143,"이수현","숨겨진 내 모습 (영화 뮬란 OST)","숨겨진 내 모습","숨겨진 내 모습","",8,0,0
2020,36,178,"(여자)아이들, Wolftyla, Bea Miller, K/DA","THE BADDEST","THE BADDEST","","THE BADDEST",0,11,1
2020,37,1,"BTS","Dynamite","Dynamite","","Dynamite",0,8,1
2020,37,2,"산들","취기를 빌려 (취향저격 그녀 X 산들) OST","취기를 빌려 (취향저격 그녀 X 산들)","취기를 빌려","",6,0,1
2020,37,25,"태민 (TAEMIN)","Never Gonna Dance Again : Act 1 - The 3rd Album","Criminal","","Criminal",0,8,1
2020,37,32,"백지영","거짓말이라도 해서 널 보고싶어","거짓말이라도 해서 널 보고싶어","거짓말이라도 해서 널 보고싶어","",16,0,0
2020,37,58,"김호중","우리家","만개","만개","",2,0,0
2020,37,62,"김호중","우리家","우산이 없어요","우산이 없어요","",7,0,0
2020,37,69,"김호중","살았소","살았소","살았소","",3,0,0
2020,37,152,"첸 (CHEN)","브람스를 좋아하세요? OST Part.3","너의 달빛","너의 달빛","",5,0,0
2020,37,168,"이우","헤어져야 하는 이유","헤어져야 하는 이유","헤어져야 하는 이유","",10,0,0
2020,37,175,"JAMIE (제이미)","Numbers","Numbers)","","Numbers",0,7,1
2020,37,179,"김호중","우리家","백화 (白花) (Narration. 손숙)","백화","",2,0,1
2020,37,200,"스탠딩 에그(Standing Egg)","Speechless","Speechless","","Speechless",0,10,1
2020,38,1,"BTS","Dynamite","Dynamite","","Dynamite",0,8,1
2020,38,2,"산들","취기를 빌려 (취향저격 그녀 X 산들) OST","취기를 빌려 (취향저격 그녀 X 산들)","취기를 빌려","",6,0,1
2020,38,44,"유아","Bon Voyage","숲의 아이 (Bon voyage)","숲의 아이","",5,0,1
2020,38,46,"오반 (OVAN)","축하해","축하해","축하해","",3,0,0
2020,38,59,"태연 (TAEYEON)","브람스를 좋아하세요? OST Part.5","내일은 고백할게","내일은 고백할게","",8,0,0
2020,38,63,"카더가든","밤새 (취향저격 그녀 X 카더가든) OST","밤새 (취향저격 그녀 X 카더가든)","밤새","",2,0,1
2020,38,89,"크러쉬 (CRUSH)","Sweet Love (취향저격 그녀 X Crush) OST","Sweet Love (취향저격 그녀 X Crush)","","Sweet Love",0,10,1
2020,38,93,"마마무 (Mamamoo)","WANNA BE MYSELF","WANNA BE MYSELF","","WANNA BE MYSELF",0,15,1
2020,38,119,"펀치 (Punch)","브람스를 좋아하세요? OST Part.4","널 사랑했던 한 사람","널 사랑했던 한 사람","",11,0,0
2020,38,191,"문빈&산하","IN-OUT","Bad Idea","","Bad Idea",0,8,1
2020,39,1,"BTS","Dynamite","Dynamite","","Dynamite",0,8,1
2020,39,2,"산들","취기를 빌려 (취향저격 그녀 X 산들) OST","취기를 빌려 (취향저격 그녀 X 산들)","취기를 빌려","",6,0,1
2020,39,45,"백현 (BAEKHYUN)","청춘기록 OST Part.3","나의 시간은","나의 시간은","",6,0,0
2020,39,46,"더보이즈(THE BOYZ)","5th MINI ALBUM [CHASE]","The Stealer","","The Stealer",0,11,1
2020,39,55,"10cm","4.5","Tight","","Tight",0,5,1
2020,39,110,"김나영","브람스를 좋아하세요? OST Part.6","그리워하면 그댈 만날까봐","그리워하면 그댈 만날까봐","",13,0,0
2020,39,148,"아이유 (IU)","CHAT-SHIRE","무릎","무릎","",2,0,0
2020,40,1,"BTS","Dynamite","Dynamite","","Dynamite",0,8,1
2020,40,2,"산들","취기를 빌려 (취향저격 그녀 X 산들) OST","취기를 빌려 (취향저격 그녀 X 산들)","취기를 빌려","",6,0,1
2020,40,3,"박진영","When We Disco","When We Disco (Duet with 선미)","","When We Disco",0,13,1
2020,40,6,"스탠딩 에그(Standing Egg)","오래된 노래","오래된 노래","오래된 노래","",6,0,0
2020,40,8,"규현 (KYUHYUN)","내 마음이 움찔했던 순간 (취향저격 그녀 X 규현) OST","내 마음이 움찔했던 순간 (취향저격 그녀 X 규현)","내 마음이 움찔했던 순간","",13,0,1
2020,40,29,"헤이즈 (Heize), 펀치 (Punch)","밤하늘의 저 별처럼 (브람스를 좋아하세요? OST 스페셜 트랙)","밤하늘의 저 별처럼","밤하늘의 저 별처럼","",10,0,0
2020,40,32,"전상근","한 걸음 : 흔적","사랑은 지날수록 더욱 선명하게 남아","사랑은 지날수록 더욱 선명하게 남아","",19,0,0
2020,40,41,"정은지","너의 밤은 어때 (취향저격 그녀 X 정은지) OST","너의 밤은 어때 (취향저격 그녀 X 정은지)","너의 밤은 어때","",8,0,1
2020,40,101,"임영웅","사랑의 콜센타 PART19","오래된 노래","오래된 노래","",6,0,0
2020,40,110,"케이윌 (K.Will)","브람스를 좋아하세요? OST Part.9","아름다운 한 사람","아름다운 한 사람","",9,0,0
2020,40,120,"김재환","청춘기록 OST Part.5","What If","","What If",0,7,1
2020,40,154,"거미","브람스를 좋아하세요? OST Part.10","노래해요 그대 듣도록","노래해요 그대 듣도록","",11,0,0
2020,40,157,"Adam Levine","영화 Begin Again OST","Lost Stars","","Lost Stars",0,10,1
2020,40,172,"휘인 (Whee In)","청춘기록 OST Part.4","그렇게 넌 내게 빛나","그렇게 넌 내게 빛나","",11,0,0
2020,41,1,"BTS","Dynamite","Dynamite","","Dynamite",0,8,1
2020,41,2,"BLACKPINK","THE ALBUM","Lovesick Girls","","Lovesick Girls",0,14,1
2020,41,6,"스탠딩 에그(Standing Egg)","오래된 노래","오래된 노래","오래된 노래","",6,0,0
2020,41,8,"규현 (KYUHYUN)","내 마음이 움찔했던 순간 (취향저격 그녀 X 규현) OST","내 마음이 움찔했던 순간 (취향저격 그녀 X 규현)","내 마음이 움찔했던 순간","",13,0,1
2020,41,31,"청하, Christopher","Bad Boy","Bad Boy","","Bad Boy",0,7,1
2020,41,34,"BLACKPINK","THE ALBUM","Bet You Wanna","","Bet You Wanna",0,13,1
2020,41,72,"나훈아","아홉 이야기","테스형!","테스형","",3,0,0
2020,41,73,"백현 (BAEKHYUN)","브람스를 좋아하세요? OST Part.11","happy","","happy",0,5,1
2020,41,80,"BLACKPINK","THE ALBUM","Love To Hate Me","","Love To Hate Me",0,15,1
2020,41,88,"에일리 (Ailee)","I`m","우리 사랑한 동안","우리 사랑한 동안","",9,0,0
2020,41,98,"기리보이(Giriboy)","영화같게","연기 (With 헤이즈)","연기","",2,0,1
2020,41,101,"BLACKPINK","THE ALBUM","You Never Know","","You Never Know",0,14,1
2020,41,106,"BLACKPINK","THE ALBUM","Crazy Over You","","Crazy Over You",0,14,1
2020,41,110,"기리보이(Giriboy)","영화같게","우리서로사랑하지는말자","우리서로사랑하지는말자","",11,0,0
2020,41,139,"기리보이(Giriboy)","영화같게","라식","라식","",2,0,0
2020,41,186,"이하이","청춘기록 OST Part.7","Brave Enough","","Brave Enough",0,12,1
2020,41,193,"기리보이(Giriboy)","영화같게","찰칵","찰칵","",2,0,0
2020,42,1,"환불원정대","DON`T TOUCH ME","DON`T TOUCH ME","","DON T TOUCH ME",0,14,1
2020,42,6,"Jawsh 685, Jason Derulo, BTS","Savage Love (Laxed - Siren Beat) (BTS Remix)","Savage Love (Laxed - Siren Beat) (BTS Remix)","","Savage Love",0,11,1
2020,42,14,"NCT U","NCT RESONANCE Pt. 1 - The 2nd Album","Make A Wish (Birthday Song)","","Make A Wish",0,11,1
2020,42,81,"마크툽 (Maktub), 이라온","Red Moon : Ode To The Stars","별을 담은 시 (Ode To The Stars)","별을 담은 시","",7,0,1
2020,42,82,"규현 (KYUHYUN)","내 마음을 누르는 일 (Daystar)","내 마음을 누르는 일 (Daystar)","내 마음을 누르는 일","",11,0,1
2020,42,103,"임창정","I`M","내가 저지른 사랑","내가 저지른 사랑","",9,0,0
2020,42,106,"이우","소개팅 날","소개팅 날","소개팅 날","",5,0,0
2020,42,109,"Jawsh 685, Jason Derulo","Savage Love (Laxed - Siren Beat)","Savage Love (Laxed - Siren Beat)","","Savage Love",0,11,1
2020,42,111,"펜타곤 (PENTAGON)","WE:TH","데이지","데이지","",3,0,0
2020,42,122,"임창정","또 다시 사랑","또 다시 사랑","또 다시 사랑","",7,0,0
2020,42,123,"NCT DREAM","NCT RESONANCE Pt. 1 - The 2nd Album","무대로 (Dj Vu; 舞代路)","무대로","",3,0,1
2020,42,126,"펀치 (Punch)","너의 목소리","너의 목소리","너의 목소리","",6,0,0
2020,42,130,"NCT U","NCT RESONANCE Pt. 1 - The 2nd Album","Misfit","","Misfit",0,6,1
2020,42,162,"임창정","Bye","소주 한잔","소주 한잔","",5,0,0
2020,42,168,"NCT U","NCT RESONANCE Pt. 1 - The 2nd Album","Volcano","","Volcano",0,7,1
2020,42,181,"NCT 127","NCT RESONANCE Pt. 1 - The 2nd Album","Music, Dance","","Music  Dance",0,12,1
2020,42,186,"NCT U","NCT RESONANCE Pt. 1 - The 2nd Album","피아노 (Faded In My Last Song)","피아노","",3,0,1
2020,42,188,"NCT U","NCT RESONANCE Pt. 1 - The 2nd Album","Dancing In The Rain","","Dancing In The Rain",0,19,1
2020,43,1,"환불원정대","DON`T TOUCH ME","DON`T TOUCH ME","","DON T TOUCH ME",0,14,1
2020,43,6,"Jawsh 685, Jason Derulo, BTS","Savage Love (Laxed - Siren Beat) (BTS Remix)","Savage Love (Laxed - Siren Beat) (BTS Remix)","","Savage Love",0,11,1
2020,43,8,"크러쉬 (CRUSH)","with HER","놓아줘 (with 태연)","놓아줘","",3,0,1
2020,43,16,"세븐틴","Special Album `; [Semicolon]`","HOME;RUN","","HOME RUN",0,8,1
2020,43,36,"로꼬 (LOCO)","SOME TIME","잠이 들어야","잠이 들어야","",6,0,0
2020,43,41,"이수현","ALIEN","ALIEN","","ALIEN",0,5,1
2020,43,45,"BLACKPINK","THE ALBUM","Pretty Savage","","Pretty Savage",0,13,1
2020,43,46,"XIA(준수)","사랑하고 싶지 않아 (바른연애 길잡이 X XIA (준수)) OST","사랑하고 싶지 않아 (바른연애 길잡이 X XIA (준수))","사랑하고 싶지 않아","",10,0,1
2020,43,59,"크러쉬 (CRUSH)","with HER","Tip Toe (with 이하이)","","Tip Toe",0,7,1
2020,43,92,"NCT U","NCT RESONANCE Pt. 1 - The 2nd Album","From Home","","From Home",0,9,1
2020,43,100,"크러쉬 (CRUSH)","with HER","Step By Step (with 윤미래)","","Step By Step",0,12,1
2020,43,107,"스탠딩 에그(Standing Egg)","사랑하는 너에게 (취향저격 그녀 X 스탠딩 에그) OST","사랑하는 너에게 (취향저격 그녀 X 스탠딩 에그)","사랑하는 너에게","",8,0,1
2020,43,108,"크러쉬 (CRUSH)","with HER","She Said (with BIBI)","","She Said",0,8,1
2020,43,111,"크러쉬 (CRUSH)","with HER","춤 (with 이소라)","춤","",1,0,1
2020,43,119,"세븐틴","Special Album `; [Semicolon]`","겨우","겨우","",2,0,0
2020,43,121,"정승환","스타트업 OST Part.2","Day & Night","","Day   Night",0,11,1
2020,43,123,"세븐틴","Special Album `; [Semicolon]`","도레미","도레미","",3,0,0
2020,43,133,"임창정","힘든 건 사랑이 아니다","꽃길을 걸어요","꽃길을 걸어요","",7,0,0
2020,43,134,"세븐틴","Special Album `; [Semicolon]`","HEY BUDDY","","HEY BUDDY",0,9,1
2020,43,139,"세븐틴","Special Album `; [Semicolon]`","마음에 불을 지펴","마음에 불을 지펴","",9,0,0
2020,43,140,"세븐틴","Special Album `; [Semicolon]`","AH! LOVE","","AH  LOVE",0,8,1
2020,43,145,"비원에이포 (B1A4)","Origine","영화처럼","영화처럼","",4,0,0
2020,43,153,"XXXXX, XXXXX","Fake","Fake","","Fake",0,4,1
2020,43,154,"임창정","힘든 건 사랑이 아니다","이미 널 잊었어","이미 널 잊었어","",8,0,0
2020,43,180,"Red Velvet","스타트업 OST Part.1","미래","미래","",2,0,0
2020,44,1,"BTS","Dynamite","Dynamite","","Dynamite",0,8,1
2020,44,45,"BLACKPINK","THE ALBUM","Pretty Savage","","Pretty Savage",0,13,1
2020,44,49,"먼데이 키즈 (Monday Kiz)","사랑 못해, 남들 쉽게 다 하는 거","사랑 못해, 남들 쉽게 다 하는 거","사랑 못해  남들 쉽게 다 하는 거","",19,0,0
2020,44,79,"케이시 (Kassy)","추(秋)억","행복하니","행복하니","",4,0,0
2020,44,98,"투모로우바이투게더","minisode1 : Blue Hour","5시 53분의 하늘에서 발견한 너와 나","시  분의 하늘에서 발견한 너와 나","",19,0,0
2020,44,114,"김필","스타트업 OST Part.3","어느 날 우리","어느 날 우리","",7,0,0
2020,44,124,"임영웅","사랑의 콜센타 PART27","어느날 문득","어느날 문득","",6,0,0
2020,44,151,"적재","FINE","별 보러 가자","별 보러 가자","",7,0,0
2020,44,155,"신예영","그리워하지도 말고, 찾아오지도 마","그리워하지도 말고, 찾아오지도 마","그리워하지도 말고  찾아오지도 마","",18,0,0
2020,44,199,"HYNN(박혜원)","한 번만 내 마음대로 하자","한 번만 내 마음대로 하자","한 번만 내 마음대로 하자","",14,0,0
2020,45,1,"BTS","Dynamite","Dynamite","","Dynamite",0,8,1
2020,45,2,"BLACKPINK","THE ALBUM","Lovesick Girls","","Lovesick Girls",0,14,1
2020,45,7,"임영웅","HERO","HERO","","HERO",0,4,1
2020,45,26,"폴킴","너도 아는","너도 아는","너도 아는","",5,0,0
2020,45,55,"MINO (송민호)","TAKE","도망가","도망가","",3,0,0
2020,45,57,"노을","너의 곁에만 맴돌아","너의 곁에만 맴돌아","너의 곁에만 맴돌아","",10,0,0
2020,45,93,"AB6IX (에이비식스)","SALUTE","SALUTE","","SALUTE",0,6,1
2020,45,102,"박지훈","MESSAGE","GOTCHA","","GOTCHA",0,6,1
2020,45,103,"다비치","스타트업 OST Part.7","My Love","","My Love",0,7,1
2020,45,118,"볼빨간사춘기 (BOL4)","Filmlet","빨간 립스틱","빨간 립스틱","",6,0,0
2020,45,119,"다이나믹 듀오 (Dynamic Duo)","SOON","SOON","","SOON",0,4,1
2020,45,133,"성시경","구미호뎐 OST Part 5","비스듬히 너에게","비스듬히 너에게","",8,0,0
2020,45,135,"몬스타엑스","Fatal Love","Love Killa","","Love Killa",0,10,1
2020,45,153,"이소라","신청곡","신청곡","신청곡","",3,0,0
2020,45,161,"10cm","스타트업 OST Part.6","Where Is Dream","","Where Is Dream",0,14,1
2020,45,200,"이소라","6집 눈썹달","바람이 분다","바람이 분다","",6,0,0
2020,46,1,"BTS","Dynamite","Dynamite","","Dynamite",0,8,1
2020,46,2,"임창정","힘든 건 사랑이 아니다","힘든 건 사랑이 아니다","힘든 건 사랑이 아니다","",12,0,0
2020,46,7,"마마무 (Mamamoo)","딩가딩가 (Dingga)","딩가딩가 (Dingga)","딩가딩가","",4,0,1
2020,46,8,"TWICE","Eyes wide open","I CAN`T STOP ME","","I CAN T STOP ME",0,15,1
2020,46,10,"잔나비","잔나비 소곡집 l","가을밤에 든 생각","가을밤에 든 생각","",9,0,0
2020,46,23,"태민 (TAEMIN)","Never Gonna Dance Again : Act 2 - The 3rd Album","이데아 (IDEA:理想)","이데아","",3,0,1
2020,46,30,"하성운","Mirage","그 섬 (Forbidden Island)","그 섬","",3,0,1
2020,46,37,"마마무 (Mamamoo)","TRAVEL","AYA","","AYA",0,3,1
2020,46,42,"여자친구 (GFRIEND)","回:Walpurgis Night","MAGO","","MAGO",0,4,1
2020,46,49,"볼빨간사춘기 (BOL4)","Filmlet","Dancing Cartoon","","Dancing Cartoon",0,15,1
2020,46,70,"송하예","Happy","행복해","행복해","",3,0,0
2020,46,80,"V.O.S","니 이름 불렀나 봐","니 이름 불렀나 봐","니 이름 불렀나 봐","",10,0,0
2020,46,86,"이승철, 태연 (TAEYEON)","이승철 35주년 기념 앨범 Special `My Love`","My Love (Duet Ver.)","","My Love",0,7,1
2020,46,107,"로꼬 (LOCO)","너의 하루 (바른연애 길잡이 X 로꼬) OST","너의 하루 (바른연애 길잡이 X 로꼬)","너의 하루","",5,0,1
2020,46,111,"에릭남 (Eric Nam), 이나은 (에이프릴)","끌림 (바니와 오빠들 X 에릭남 (Eric Nam), 이나은 (에이프릴)) OST","끌림 (바니와 오빠들 X 에릭남 (Eric Nam), 이나은 (에이프릴))","끌림   이나은","",8,0,1
2020,46,113,"XIA(준수)","Pit A Pat","Pit A Pat","","Pit A Pat",0,9,1
2020,46,116,"잔나비","잔나비 소곡집 l","그 밤 그 밤","그 밤 그 밤","",7,0,0
2020,46,128,"잔나비","잔나비 소곡집 l","한걸음","한걸음","",3,0,0
2020,46,142,"이적","Trace","돌팔매","돌팔매","",3,0,0
2020,46,185,"잔나비","잔나비 소곡집 l","작전명 청-춘!","작전명 청 춘","",7,0,0
2020,47,1,"BTS","Dynamite","Dynamite","","Dynamite",0,8,1
2020,47,2,"임창정","힘든 건 사랑이 아니다","힘든 건 사랑이 아니다","힘든 건 사랑이 아니다","",12,0,0
2020,47,3,"장범준","잠이 오질 않네요","잠이 오질 않네요","잠이 오질 않네요","",9,0,0
2020,47,6,"이승기","뻔한남자","뻔한남자","뻔한남자","",4,0,0
2020,47,17,"AKMU (악뮤)","HAPPENING","HAPPENING","","HAPPENING",0,9,1
2020,47,53,"임창정","힘든 건 사랑이 아니다","소확행","소확행","",3,0,0
2020,47,72,"비투비 포유","INSIDE","Show Your Love","","Show Your Love",0,14,1
2020,47,73,"창모 (CHANGMO)","광장동에서","광장동에서","광장동에서","",5,0,0
2020,47,87,"BTS","BE","Skit","","Skit",0,4,1
2020,47,106,"코드 쿤스트 (CODE KUNST), 최정훈 (잔나비), 사이먼 도미닉 (Simon Dominic)","RECONNECT","사라진 모든 것들에게 (with ELLE KOREA)","사라진 모든 것들에게","",11,0,1
2020,47,109,"길구봉구","알았다면","알았다면","알았다면","",4,0,0
2020,47,116,"김나영","니가 없다면","니가 없다면","니가 없다면","",6,0,0
2020,47,127,"WOODZ (조승연)","WOOPS!","BUMP BUMP","","BUMP BUMP",0,9,1
2020,47,143,"웬디 (WENDY)","스타트업 OST Part.11","두 글자","두 글자","",4,0,0
2020,47,145,"씨엔블루 (CNBLUE)","RE-CODE","과거 현재 미래 (Then, Now and Forever)","과거 현재 미래","",8,0,1
2020,47,155,"적재","2006","반짝 빛나던, 나의 2006년","반짝 빛나던  나의  년","",13,0,0
2020,47,172,"헨리 (Henry)","JOURNEY","RADIO","","RADIO",0,5,1
